time_s,rx_m,ry_m,rz_m,rtheta_x_rad,rtheta_y_rad,rtheta_z_rad,nis
5.010042429000000297e+00,8.687429648709492358e-04,1.406714648893237635e-03,-1.409161454149610200e-03,3.903298555220187024e-04,2.827428862532048817e-04,-2.189709981368559628e-04,1.210212781195582100e-02
5.014002084000000359e+00,2.251190344434647606e-04,4.119680838382405730e-04,-3.242547678201923578e-04,5.075651756349148792e-05,2.383941306861056628e-05,-2.276067584784131017e-05,1.564586782023982652e-03
5.019895315000000302e+00,1.539314043254597780e-04,2.748844561694142874e-04,-1.795782507618441312e-04,2.665720532500299433e-05,1.445012383115827794e-05,-1.548545014383998002e-05,7.489537489015432202e-04
5.024113654999999845e+00,1.267264296044984251e-04,2.188454505760578650e-04,-1.227044708319892374e-04,1.874761180158486927e-05,9.979247196604730484e-06,-1.077896815332087179e-05,4.807249446553556486e-04
5.029896020999999884e+00,1.266530168477948692e-04,2.036956516372270820e-04,-9.176021380560579060e-05,1.369954632855346764e-05,9.125125984581414760e-06,-1.147488966486676100e-05,4.162849132058505665e-04
5.034153700000000065e+00,1.245731677361281570e-04,1.899301301880734760e-04,-7.315133211758736986e-05,1.111158009980047532e-05,7.888532645061952509e-06,-1.001853722016022454e-05,3.661623540458060818e-04
5.039890288999999690e+00,1.318896522988638464e-04,1.935337228051066394e-04,-5.800214459790540428e-05,7.941859839549958843e-06,5.766027152137460492e-06,-1.030788071426561359e-05,3.737643530637989623e-04
5.044370413000000219e+00,1.329847399304320832e-04,1.927765959400216944e-04,-4.702067451890432070e-05,6.973256028628599196e-06,6.472278265003342488e-06,-9.222338625698344383e-06,3.702467336002302238e-04
5.049890755999999925e+00,1.384836553507667184e-04,2.015081751543662536e-04,-3.713474274643236567e-05,6.233206569595743997e-06,6.578721971117690549e-06,-1.079795779673709104e-05,4.019061784359294950e-04
5.054102896999999928e+00,1.403508881316090778e-04,2.027642182063187082e-04,-2.998163718625438540e-05,5.065018032719942406e-06,6.480537804223980454e-06,-1.030680150812240908e-05,4.069284240674625464e-04
5.059896707000000049e+00,1.513756611606319191e-04,2.147276221625832315e-04,-2.348283461830677488e-05,5.187111032465251543e-06,5.366830116224674211e-06,-1.256851979206390084e-05,4.633786381583473134e-04
5.064165114999999773e+00,1.558269362776625727e-04,2.178026507132189982e-04,-1.822590269871023766e-05,5.371284316897521191e-06,6.218917309174814766e-06,-1.266419754558552392e-05,4.841904563942324761e-04
5.069925784999999685e+00,-3.897626927954235543e-04,-3.118925134976587021e-04,3.650984600111475617e-04,-4.357903158509505103e-04,-2.125614058716262654e-04,3.929942547509369239e-05,2.350058335531910597e-02
5.074003935000000354e+00,-3.469793166007619639e-04,-2.693136125210132681e-04,3.401157915970546078e-04,-4.041852694067204501e-04,-1.987171953113845259e-04,3.424361325837462134e-05,2.023784259579053044e-02
5.079899311000000139e+00,-3.072403441485918596e-04,-2.253004366843149031e-04,3.227476476814743894e-04,-3.757778212324591966e-04,-1.864169862573013714e-04,2.826520212941543368e-05,1.750097179198751435e-02
5.083984375000000000e+00,-2.738387151536101488e-04,-1.913721718733024657e-04,3.019213376139768396e-04,-3.505045080506031781e-04,-1.736561780712551212e-04,2.515337260007824058e-05,1.517338373623980559e-02
5.089891194999999868e+00,-2.398160546298513246e-04,-1.541356095712646812e-04,2.860335693007313301e-04,-3.307118342290061045e-04,-1.645884943838691738e-04,2.182838233123900691e-05,1.345072597743766224e-02
5.094118595000000305e+00,-2.094664609142739276e-04,-1.248177264690474020e-04,2.682883570445061469e-04,-3.105874266163558212e-04,-1.546940560427970644e-04,1.862698984784132123e-05,1.180969500118363678e-02
5.099888324000000139e+00,-1.768636473637487383e-04,-9.286489860749549963e-05,2.529828435233342013e-04,-2.947927480537236122e-04,-1.477142090770979085e-04,1.620357999105821584e-05,1.058925762087684422e-02
5.104104756999999992e+00,-1.502963721164169569e-04,-6.940925848231832562e-05,2.353952547512246779e-04,-2.794603797717966766e-04,-1.399014553832361122e-04,1.304781359498273166e-05,9.452158293216158386e-03
