time_s,raw_x,raw_y,raw_z,raw_qx,raw_qy,raw_qz,raw_qw,bias_x,bias_y,bias_z,bias_qx,bias_qy,bias_qz,bias_qw
5.003893137000000380e+00,-9.803614232209724097e-03,-1.827073657927591813e-02,-4.589531835205991166e-03,4.818197703895919608e-03,-3.530979117037702508e-03,-1.609334737479224415e-03,-9.999808634164277787e-01,-9.803614232209724097e-03,-1.827073657927591813e-02,-4.589531835205991166e-03,4.818197703895919608e-03,-3.530979117037702508e-03,-1.609334737479224415e-03,-9.999808634164277787e-01
5.010042429000000297e+00,-9.803291602342320554e-03,-1.826954999038273714e-02,-4.590915739301737984e-03,4.810550340467109609e-03,-3.538647838864424338e-03,-1.658880721497841887e-03,-9.999807921613524941e-01,-9.802742964870948469e-03,-1.827071464889323815e-02,-4.589838545850389792e-03,4.812549675627758768e-03,-3.530846233684853831e-03,-1.607853627071776032e-03,-9.999808934660739945e-01
5.014002084000000359e+00,-9.801437235756327304e-03,-1.826749921096481807e-02,-4.593347034331634118e-03,4.802470236875890953e-03,-3.541466911384702140e-03,-1.687619845984165545e-03,-9.999807729306574577e-01,-9.799955523934405360e-03,-1.827064659336286034e-02,-4.590435924342703422e-03,4.805757073422431240e-03,-3.528641529319496116e-03,-1.603735391504414621e-03,-9.999809405287197750e-01
5.019895315000000302e+00,-9.795278899576886217e-03,-1.826285162990933658e-02,-4.599061225158202620e-03,4.787308761041417920e-03,-3.540944514007014331e-03,-1.727265465272290277e-03,-9.999807797856856695e-01,-9.791571783208549012e-03,-1.827073733355497401e-02,-4.591766527049782887e-03,4.792512171453241002e-03,-3.520641878185226496e-03,-1.594478824849114226e-03,-9.999810470929583195e-01
5.024113654999999845e+00,-9.790316621767689714e-03,-1.825869576975541753e-02,-4.604380981413479929e-03,4.774211614727146349e-03,-3.537193536304677859e-03,-1.753404959549528666e-03,-9.999808101840718111e-01,-9.784404223831035322e-03,-1.827128524061035278e-02,-4.592733498460564376e-03,4.780787302610152098e-03,-3.511538418279493753e-03,-1.585614486771176048e-03,-9.999811493210276625e-01
5.029896020999999884e+00,-9.786458779439129174e-03,-1.825171446931060301e-02,-4.612632647400170989e-03,4.750057901271777065e-03,-3.536748497658040360e-03,-1.803051467646163723e-03,-9.999808384991204502e-01,-9.776697477861263572e-03,-1.827252827087300080e-02,-4.593371475340556585e-03,4.758514249478024323e-03,-3.503755432606348637e-03,-1.587278992643932022e-03,-9.999812802174877779e-01
5.034153700000000065e+00,-9.787763778143561411e-03,-1.824509370617638862e-02,-4.618975965188298199e-03,4.727707571446550065e-03,-3.539879048616100411e-03,-1.849779845358051102e-03,-9.999808479925822446e-01,-9.774559940339811598e-03,-1.827327494814889874e-02,-4.592891360762630694e-03,4.737548299909431770e-03,-3.501482013344193577e-03,-1.598677331231394697e-03,-9.999813695717569839e-01
5.039890288999999690e+00,-9.794007430104455930e-03,-1.823374817723545302e-02,-4.628246474234087686e-03,4.702157906210258954e-03,-3.542582460086066750e-03,-1.917345970710785828e-03,-9.999808316187702717e-01,-9.775352921739491330e-03,-1.827361431674690007e-02,-4.591335711493325401e-03,4.713864459860446499e-03,-3.496905586705934075e-03,-1.618641333482468076e-03,-9.999814653949369303e-01
5.044370413000000219e+00,-9.799010695438370444e-03,-1.822300347169176701e-02,-4.636988683058505464e-03,4.685768627680139513e-03,-3.543510602684453708e-03,-1.973710926198523306e-03,-9.999807956006736553e-01,-9.775453130656116055e-03,-1.827340013831825136e-02,-4.590319355158600269e-03,4.698932877969537632e-03,-3.492149489889363398e-03,-1.637830151023524040e-03,-9.999815210463367521e-01
5.049890755999999925e+00,-9.802112056848491170e-03,-1.820791888096506134e-02,-4.650479044383446468e-03,4.670023732548276955e-03,-3.546067431563787280e-03,-2.032880832277473432e-03,-9.999807416543731176e-01,-9.771737504073415778e-03,-1.827298668024336659e-02,-4.590212772996174646e-03,4.684983132119537735e-03,-3.487703641592950193e-03,-1.651191919483198768e-03,-9.999815800411551159e-01
5.054102896999999928e+00,-9.801597111397636342e-03,-1.819549726887455601e-02,-4.663007275438314780e-03,4.661405370340514741e-03,-3.549096565669185386e-03,-2.070183263987631413e-03,-9.999806945910478806e-01,-9.765447634997046281e-03,-1.827301857798519641e-02,-4.591198397897368159e-03,4.677733633261512564e-03,-3.485390756717163859e-03,-1.653541536624690772e-03,-9.999816181609119115e-01
5.059896707000000049e+00,-9.799269574903469657e-03,-1.817726215702367143e-02,-4.682573431078042824e-03,4.658821748487367194e-03,-3.551679443300245331e-03,-2.116904029606924299e-03,-9.999805996470019220e-01,-9.754370025298079658e-03,-1.827369093137066330e-02,-4.593236473778638390e-03,4.677033252330057601e-03,-3.480629462013595191e-03,-1.652184057792768519e-03,-9.999816402646319879e-01
