time_s,rx_m,ry_m,rz_m,rtheta_x_rad,rtheta_y_rad,rtheta_z_rad,nis
5.010042429000000297e+00,8.687429648709492358e-04,1.406714648893237635e-03,-1.409161454149610200e-03,3.903298555220187024e-04,2.827428862532048817e-04,-2.189709981368559628e-04,1.543153375211703954e-02
5.014002084000000359e+00,2.070261460831307465e-05,2.918037189633682083e-05,-2.416807073616147883e-06,1.001774490374663304e-06,6.558467540262874730e-07,-1.689137655575356619e-08,4.549523444847360966e-04
5.019895315000000302e+00,3.593577622659771542e-05,4.994159301347639301e-05,2.518576865557890787e-06,2.992284444535268447e-08,2.343296467275541162e-06,-3.480562770528629897e-06,1.806215882510927304e-03
5.024113654999999845e+00,3.985059780516747585e-05,5.474813018624749561e-05,3.681919017757030732e-06,5.754833317906951202e-07,1.761789749388823478e-06,-2.573466745192501339e-06,2.285042929053111068e-03
5.029896020999999884e+00,5.124934775978251533e-05,6.674535046018170714e-05,4.063227089495108357e-06,-1.009495903929823610e-07,2.900189513551067948e-06,-5.233974309937905258e-06,3.709760149479340678e-03
5.034153700000000065e+00,4.935173114548399576e-05,6.230165895135600374e-05,2.914874866801094033e-06,-1.093493549386085667e-08,2.857357868279606429e-06,-4.943442351463925840e-06,3.402486411944470861e-03
5.039890288999999690e+00,4.850649593217057354e-05,6.308253139403197096e-05,3.817951536920147215e-06,-1.375483385735672443e-06,1.528039631688530320e-06,-6.007706021898035997e-06,3.411221466134848473e-03
5.044370413000000219e+00,3.974266341084942145e-05,5.512862493590661717e-05,3.819485392774109311e-06,-1.032123857222552688e-06,2.810215582328020909e-06,-5.450763417963222297e-06,2.647245419927323276e-03
5.049890755999999925e+00,3.220360018792341184e-05,5.094026621273867184e-05,4.407861063329687745e-06,-7.837474118602400360e-07,3.323160455131063971e-06,-7.408557312088163257e-06,2.448742639525951573e-03
5.054102896999999928e+00,2.567757888866442628e-05,4.245491978382281983e-05,3.977815721622687817e-06,-1.181747279963320122e-06,3.520999511399637625e-06,-7.167541246350833739e-06,1.916795755947443749e-03
5.059896707000000049e+00,2.367661105790244691e-05,3.848836088892609864e-05,3.258868785728161188e-06,-4.341844253458097225e-07,2.620041081202759946e-06,-9.596059993185540392e-06,2.045569401702748008e-03
5.064165114999999773e+00,2.100548154160448988e-05,3.250814743793739581e-05,2.930696378764495458e-06,2.534100961273346961e-07,3.650363635532576765e-06,-9.754688345034114608e-06,1.920256588874615263e-03
5.069925784999999685e+00,-5.366902428200273634e-04,-5.122744096968633032e-04,3.805110409287985884e-04,-4.404970348434760125e-04,-2.150289086920538148e-04,4.221739108251947649e-05,2.475830368970846962e+00
5.074003935000000354e+00,-3.926013786224504670e-04,-3.689139911872141298e-04,2.776509103814342461e-04,-4.006234411203242040e-04,-1.958250509718515798e-04,3.593841117106990273e-05,1.943038531817197878e+00
5.079899311000000139e+00,-2.826445603539250173e-04,-2.579159137531643331e-04,2.001536162270518143e-04,-3.640795369244210025e-04,-1.781226876714983446e-04,2.890304460373810302e-05,1.537229391688297531e+00
5.083984375000000000e+00,-1.999883236943889031e-04,-1.765350644792329504e-04,1.412328701157691824e-04,-3.308671693630038072e-04,-1.599855746044263438e-04,2.488830423067689166e-05,1.229676607422747647e+00
5.089891194999999868e+00,-1.276307659171665998e-04,-1.045391986556551411e-04,9.001306118789405980e-05,-3.028417336898480620e-04,-1.453717119533377161e-04,2.071522438394802080e-05,1.001364598169941500e+00
5.094118595000000305e+00,-7.595073070044110197e-05,-5.534657050340618945e-05,5.525778295934966056e-05,-2.749688815078247975e-04,-1.302606914621891180e-04,1.679257827097071766e-05,8.108921363807837235e-01
5.099888324000000139e+00,-2.497008475698878072e-05,-7.698412226999490349e-06,2.072604181705631904e-05,-2.509041652735358326e-04,-1.177901316926481962e-04,1.369065467749810013e-05,6.661867718475108502e-01
5.104104756999999992e+00,6.570648049335561791e-06,2.050323371342172019e-05,-1.315754220777842765e-06,-2.281499326993458986e-04,-1.050960954833277447e-04,1.000018719986969302e-05,5.459455189271074094e-01
5.109889983999999608e+00,4.010047296459755273e-05,5.325134820029914229e-05,-2.536185414560038903e-05,-2.077052314942036393e-04,-9.248249325746640652e-05,8.413315361993523603e-06,4.481700366655624324e-01
5.114277838999999659e+00,5.799362944705621636e-05,7.123079172382390523e-05,-3.803689763026956577e-05,-1.881955331408903726e-04,-8.129104137314027017e-05,5.074266558434740384e-06,3.669229688064749029e-01
5.120037554999999685e+00,7.925427379134285244e-05,9.432083361098075880e-05,-5.448491214759491191e-05,-1.679855931832924417e-04,-6.985355269424972516e-05,2.393012114941806092e-06,2.941015825335057676e-01
5.123975277000000439e+00,8.744518993244153326e-05,1.012805843616342016e-04,-6.036313908222828289e-05,-1.508686633639237076e-04,-6.125577413836908586e-05,1.208261792475309610e-06,2.399945551283855782e-01
5.129906176999999623e+00,1.068695806609662458e-04,1.184137265269231964e-04,-7.310358307663182564e-05,-1.347990967348529107e-04,-5.129331919606166357e-05,-2.105594698428970352e-06,1.960539096758019961e-01
