time_s,rx_m,ry_m,rz_m,rtheta_x_rad,rtheta_y_rad,rtheta_z_rad,nis
5.069925784999999685e+00,6.049348139160661691e-04,1.225217719183210180e-03,-1.006651716710493805e-03,-5.074554448531472110e-05,7.234151139486984163e-05,-1.859565206519242769e-04,7.531767068669749550e-03
5.169904947000000028e+00,3.787194485029687224e-04,-4.523475358838985327e-04,5.712965970235371616e-04,-3.949783729498204253e-04,1.595228582009382875e-04,-6.281581857994308796e-05,8.451967212420958830e-01
5.269892214999999602e+00,4.470472566227906216e-04,1.693916004197684039e-03,-1.279619430898109797e-03,8.356567449395456470e-04,-8.319263672365844343e-05,2.395077709318872532e-04,4.542886267587193494e+00
5.369897604000000157e+00,-1.223347087731585514e-03,-3.159471461196966535e-04,3.170867691835600050e-04,-2.750555724455582018e-04,-1.174052617101781378e-04,6.310725926391426129e-04,3.501475821294307789e+00
5.469925879999999907e+00,-6.414537109456566744e-04,-1.306780305117438701e-03,6.234290611352817299e-04,6.385921278382240569e-04,-2.992962128116596811e-04,-6.865487955637858701e-05,3.113654534544168406e+00
5.569894790000000206e+00,-1.048508450836661485e-03,-1.182183352938619147e-04,7.694538542827589200e-04,-4.164402180111394323e-04,-5.507468116642248333e-04,2.287837474685866003e-04,3.573605338618073723e+00
5.669892788000000294e+00,1.941779579172610293e-03,-1.112535724461516384e-03,-2.250702762359394621e-04,4.635837659417361392e-04,4.158588496297642369e-06,-6.558438746365688205e-04,4.979339641943015593e+00
5.769686221999999809e+00,1.684859974069608315e-03,-2.351679803253015066e-04,-6.465315123246545906e-04,-7.358267264857585666e-04,-4.221417142850302482e-05,2.989600334047552233e-04,4.189047296309142965e+00
5.869891166000000382e+00,1.358531160722735096e-03,1.078302504899729397e-03,-2.206922426840597640e-03,4.383586707456234516e-04,5.321523639114806312e-04,-2.308358729691489082e-04,6.000980768434160950e+00
5.969892263000000199e+00,1.653539719531011906e-03,2.741678694364854674e-03,-5.695654042873511680e-05,-6.820177049147522607e-04,-2.878907795652136347e-05,5.321948355382559546e-05,5.271714909441482355e+00
6.069895029000000441e+00,6.292090463922029447e-04,2.294740233074188396e-03,-1.084776047131832261e-04,1.149262162113359888e-04,9.590137521459189945e-04,-1.728609912782479304e-04,9.569793378374011894e+00
6.169889211000000095e+00,6.343891766501935647e-05,1.708766946650629864e-03,4.756727476182926947e-04,5.336035362173975312e-04,-3.899706547317386687e-04,-2.095676934402422608e-04,4.334787290034147311e+00
6.269918440999999731e+00,-1.017713224200770747e-03,-1.458276702756035326e-04,2.315276247280740815e-03,-3.935885469516157260e-04,1.131336020826849263e-04,-4.897616452093445316e-05,3.572467051226081658e+00
6.369890928000000230e+00,-1.695671045959582651e-03,-1.517330688485835077e-03,3.287619103623753546e-03,-4.906064804526190398e-05,7.106228977229339140e-05,-1.949108062865387715e-04,6.610480245915040243e+00
